text,labels
"My experience with several brands of space heaters in my own garage has led me to recommend the Doe unit. This heater comes in several output levels and seems to produce the most heat for the least electricity. I have used one for over 10 years with no maintenance problems, so I can recommend it very highly. Please let me know if you want me to go ahead and order the five units we would need for your warehouse. ",0
"I have never encountered someone as radiant, or as beautiful, and as kind as you are. The mere sight of you, the simple hint of your voice, quickens my pulse and awakens hope and wonder in me. I never imagined someone could be so open or so caring. Every day, I feel grateful for just having met you.You are full of life. Your personality is so vibrant and unique. I want to discover everything there is to understand about you. In truth, I can no longer envision my life without you. Although our paths are new and our tracks are fresh, our first steps together have reassured me of one thing: I wish to have you next to me always. I wish to spend my life with you.",1
"I fall in love even more with you with every second. Tell me, what magic spell did you cast on me?",1
"Word on the street says you are laid up with bronchitis. I'm glad to hear you are taking it easy. Something like that can too easily become more serious, and we need you around for the family volleyball games. If there is anything Jane or I can do to help out, please let us know--and don't be shy. I could help with some of your errands after 6:00. Please heed our request and get well soon! ",0
"The strong desire that you had for me seems gone. I feel like you do not need me that way anymore; that you just want a family with no strings attached. And it seems that you no longer want or need intimacy which is so important in our marriage. We had many moments earlier in our marriage where we definitely had the need to share ourselves and I miss that intimacy. There does not seem to be enough loving. Have you lost all physical desire for me? I hope not.If there is something that I can do to rekindle our love, please help me to understand. As I have said many times, I am willing to listen to your needs. All that I ask is that you tell me what you need and that you listen to my needs as well.",1
"It was a sobering moment when I learned you were giving me the award for youth leadership. I have wanted very much to help the young people of our community, and this award suggests that perhaps I have succeeded in some measure. I sincerely hope that is the case. Although we feel a little self-conscious about the attention we are receiving, Jane and I will be delighted to join you at the annual banquet on Friday, June 30, and I will be happy to respond with a brief acceptance speech. I have enclosed the recent photograph that you requested. It is difficult for me to express how much your thoughtfulness means to me. Thank you, again. ",0
"Since you came into my life, I have been so happy. The fact that we're a thousand miles apart is not a problem at all because you are always in my heart. You told me that I'm the right one, and I cannot tell you how good that made me feel. I am waiting for the days to come that will make our dreams come true. I'll wait for you for a lifetime if you want me to. Do you know why? Because you are the only one who sees me when I am invisible to others. I hope you never quit believing that my love for you is true.",1
"I have fallen in love so many times in life. But every time, it was with you!",1
I was lost and hopeless. But I kept praying for a savior to come into my life. God accepted my prayer and sent you. Now I owe you my life for eternity. Loving you madly is the only thing I can do perfectly!,1
"I want you to know that Jane is one of our most valued employees. She is bright, cheerful, and gets along well with even the most difficult personalities. She always comes to work full of enthusiasm, ready to take on new challenges, and eager to share her insights. You deserve to be very proud of her. If her qualities are indicative of what her parents are like, then you must be very special. Jane is fortunate to have such a supportive family. Thank you for your contribution to Jane's success at Doe Corporation. ",0
"My darling, Do not imagine, because you find these lines in your journal that I have been trespassing.  You know I have not – and where else shall  I leave a love letter?  For I long to write you a love-letter tonight. You are all about me – I seem to breathe you, hear you, feel you in me and of me. What am I doing here?  You are away.  I have seen you in the train, at the station, driving up, sitting in the lamplight, talking,  greeting people, washing your hands…  And I am here – in your tent – sitting at your table. There are some wall-flower petals on the table and a dead match, a blue pencil and a Magdeburgische Zeitung.  I am just as much at  home as they. When dusk came, flowing up the silent garden, lapping against the blind windows, my first and last terror started up.  I was making  some coffee in the kitchen.  It was so violent, so dreadful I put down the coffee pot – and simply ran away – ran ran out of the studio  and up the street with my bag under one arm and a block of writing paper and a pen under the other.  I felt that if I could get here  and find Mrs. F I should be *safe*. I found her and I lighted your gas, wound up your clock, drew your curtains and embraced your black overcoat before I sat down,  frightened no longer.  Do not be angry with me, Bogey.  Ca a ete plus fort que moi ….  That is why I am here. When you came to tea this afternoon you took a brioche, broke it in half and padded the inside doughy bit with two fingers.  You  always do that with a bun or roll or a piece of bread.  It is your way – your head a little on one side the while. When you opened your suitcase, I saw your old Feltie and a French book and a com all higgledy-piggedly.  ‘Tig, Ive only got 3  handkerchiefs.’ Why should that memory be so sweet to me?… Last night, there was a moment before you got into bed.  You stood, quite naked, bending forward a little, talking.  It was only for  an instant.  I saw you – I loved you so, loved your body with such tenderness.  Ah, my dear! And I am not thinking of *passion*.  No, of that other thing that makes me feel that every inch of you is so precious to me – your  soft shoulders – your creamy warm skin, your ears cold like shells are cold – your long legs and your feet that I love to clasp with my  feet – the feeling of your belly – and your thin young back.  Just below that bone that sticks out at the back of your neck you have a  little mole. It is partly because we are young that I feel this tenderness.  I love your mouth.  I could not bear that it should be touched even by  a cold wind if I were the Lord. We two, you know, have everything before us, and we shall do very great things.  I have perfect faith in us, and so perfect is my love  for you that I am, as it were, still, silent to my very soul. I want nobody but you for my lover and my friend and to nobody buy you shall I be faithful. I am yours forever. Tig.",1
"I just want to tell you how much I love you. You have brought so much happiness into my life and you do so much for me that no one has ever done for me before. I will continue to love you for the rest of my life, and forever.",1
"I can't explain the way I feel about you right now. I just love you so much it makes me want to cry. You say things to me that make me light up. Whenever I'm sick, you make me feel better. Whenever I'm tired, you let me sleep, even if you want to talk to me. Whenever I'm sad, you do whatever you can to make me feel better. When I'm mad, you leave me alone to let me cool down. Whenever you're around me, I usually just melt anyway! Whenever my day is bad and I see you, all my worries go away. You mean everything to me, and I hope you know that. I never felt this way about anyone else, and I hope you feel the same. I love you. Will you marry me?",1
"My business is located in your district and I have been one of your supporters throughout your term in office. I strongly encourage you to support House Bill 221, The Venture Capital Enhancement Act sponsored by Representative Davenport. Those of us in the high tech businesses understand how vital venture capital is to the growth of industry. Without it, we could not have enjoyed the advances in communication and medicine that we seen in the past decade. ",0
"Although we agreed earlier that I would pay overtime wages, if necessary, so that the carpeting could be completed by April 10, the situation has changed. The painting of the building's interior has been delayed, so the deadline for having the carpeting in place has been moved forward to April 24.This should help you to complete the project without incurring any overtime costs. I realize that such changes are never convenient, but trust that the extra time will, in the long run, benefit us all. Please let me know if there is any problem with this change; otherwise I will assume that this is acceptable to you. ",0
"Have you really not noticed, then, that here of all places, in this private, personal solitude that surrounds me, I have turned to you? All the memories of my youth speak to me as I walk, just as the sea shells crunch under my feet on the beach. The crash of every wave awakens far-distant reverberations within me. I hear the rumble of bygone days, and in my mind the whole endless series of old passions surges forward like the billows. I remember my spasms, my sorrows, gusts of desire that whistled like wind in the rigging, and vast vague longings that swirled in the dark like a flock of wild gulls in a storm cloud. On whom should I lean, if not on you? My weary mind turns for refreshment to the thought of you as a dusty traveler might sink onto a soft and grassy bank.",1
"I understand that my payment is three weeks late, but that does not justify your collections office's actions. During the past five days I have received three telephone calls and four letters. In addition, one of your representatives has contacted three of my relatives who have nothing to do with my finances. By anyone's definition this is harassment. I expect you to stop contacting me every day and to stop calling my relatives.In the meantime, please know that I plan to send you a payment within the next few days. The money will reach your office in about a week. ",0
