text,labels
"My Dearest Friend, should I draw you the picture of my heart it would be what I hope you would still love though it contained nothing new.  The early possession you obtained there, and the absolute power you have obtained over it, leaves not the smallest space unoccupied.I look back to the early days of our acquaintance and friendship as to the days of love and innocence, and, with an indescribable pleasure, I have seen near a score of years roll over our heads with an affection heightened and improved by time, nor have the dreary years of absence in the smallest degree effaced from my mind the image of the dear untitled man to whom I gave my heart.",1
Then u going ikea str aft dat?,0
"I think that reading the book first spoils the movie, but the shining on its own is a brilliant movie, only Stanley Kubrick and Jack Nicholson could do it ;)",0
"Crap, Tomorrow ? What time ? I have a 7:08 tee time. Hahaha. It's not very exclusive when details are released on the internet where I found them. Google search of Crank 2. Im in inperialmusic listening2the weirdest track ever sounds like insects being molested&someone plumbing,remixed by evil men on acid!",0
They did't play one day last year know even though they have very good team.. Like india. LOLz at smart people won. Huh y lei...,0
"Our love will bloom always fairer, fresher, more gracious, because it is a true love, and because genuine love is ever increasing. It is a beautiful plant growing from year to year in the heart, ever extending its palms and branches, doubling every season its glorious clusters and perfumes; and, my dear life, tell me, repeat to me always, that nothing will bruise its bark or its delicate leaves, that it will grow larger in both our hearts, loved, free, watched over, like a life within our life…",1
"I have a thousand images of you in an hour; all different and all coming back to the same… And we love. And we’ve got the most amazing secrets and understandings. Noel, whom I love, who is so beautiful and wonderful. I think of you eating omlette on the ground. I think of you once against a sky line: and on the hill that Sunday morning. And that night was wonderfullest of all. The light and the shadow and quietness and the rain and the wood. And you. You are so beautiful and wonderful that I daren’t write to you… And kinder than God. Your arms and lips and hair and shoulders and voice – you. Rupert Brooke",1
"In the Name of the King A Dungeon siege tale Good movie! Ray Liotta, Burt Reynolds, Leelee Sobieski, and many others.",0
I've reached sch already...,0
No problem. How are you doing?,0
Note: 2006 is the most recent data available from the Federal Reserve Board,0
"Fräulein Felice! I am now going to ask you a favor which sounds quite crazy, and which I should regard as such, were I the one to receive the letter. It is also the very greatest test that even the kindest person could be put to. Well, this is it: Write to me only once a week, so that your letter arrives on Sunday — for I cannot endure your daily letters, I am incapable of enduring them. For instance, I answer one of your letters, then lie in bed in apparent calm, but my heart beats through my entire body and is conscious only of you. I belong to you; there is really no other way of expressing it, and that is not strong enough. But for this very reason I don’t want to know what you are wearing; it confuses me so much that I cannot deal with life; and that’s why I don’t want to know that you are fond of me. If I did, how could I, fool that I am, go on sitting in my office, or here at home, instead of leaping onto a train with my eyes shut and opening them only when I am with you? Oh, there is a sad, sad reason for not doing so. To make it short: My health is only just good enough for myself alone, not good enough for marriage, let alone fatherhood. Yet when I read your letter, I feel I could overlook even what cannot possibly be overlooked. If only I had your answer now! And how horribly I torment you, and how I compel you, in the stillness of your room, to read this letter, as nasty a letter as has ever lain on your desk! Honestly, it strikes me sometimes that I prey like a spectre on your felicitous name! If only I had mailed Saturday’s letter, in which I implored you never to write to me again, and in which I gave a similar promise. Oh God, what prevented me from sending that letter? All would be well. But is a peaceful solution possible now? Would it help if we wrote to each other only once a week? No, if my suffering could be cured by such means it would not be serious. And already I foresee that I shan’t be able to endure even the Sunday letters. And so, to compensate for Saturday’s lost opportunity, I ask you with what nergy remains to me at the end of this letter: If we value our lives, let us abandon it all. Did I think of signing myself Dein? No, nothing could be more false. No, I am forever fettered to myself, that’s what I am, and that’s what I must try to live with.",1
"i think you meant to say that MMA in general appeals to the white, suburban gangster demographic. UFC knows who their market is. 12 boys living in a house together (TUF), heavy metal music at every juncture, etc, etc.",0
It will take a couple of armed citizens dropping a couple of scum before the real effect of people having the guns will be noticed by the criminals.,0
"There would have been the making of an accomplished flirt in me, because my lucidity shows me each move of the game – but that, in the same instant, a reaction of contempt makes me sweep all the counters off the board and cry out: – “Take them all – I don’t want to win – I want to lose everything to you!”",1
Do u noe how 2 send files between 2 computers?,0
"My very dear Sarah: The indications are very strong that we shall move in a few days — perhaps tomorrow. Lest I should not be able to write you again, I feel impelled to write lines that may fall under your eye when I shall be no more. Our movement may be one of a few days duration and full of pleasure — and it may be one of severe conflict and death to me. Not my will, but thine 0 God, be done. If it is necessary that I should fall on the battlefield for my country, I am ready. I have no misgivings about, or lack of confidence in, the cause in which I am engaged, and my courage does not halt or falter. I know how strongly American Civilization now leans upon the triumph of the Government, and how great a debt we owe to those who went before us through the blood and suffering of the Revolution. And I am willing — perfectly willing — to lay down all my joys in this life, to help maintain this Government, and to pay that debt. But, my dear wife, when I know that with my own joys I lay down nearly all of yours, and replace them in this life with cares and sorrows — when, after having eaten for long years the bitter fruit of orphanage myself, I must offer it as their only sustenance to my dear little children — is it weak or dishonorable, while the banner of my purpose floats calmly and proudly in the breeze, that my unbounded love for you, my darling wife and children, should struggle in fierce, though useless, contest with my love of country? I cannot describe to you my feelings on this calm summer night, when two thousand men are sleeping around me, many of them enjoying the last, perhaps, before that of death — and I, suspicious that Death is creeping behind me with his fatal dart, am communing with God, my country, and thee. I have sought most closely and diligently, and often in my breast, for a wrong motive in thus hazarding the happiness of those I loved and I could not find one. A pure love of my country and of the principles have often advocated before the people and “the name of honor that I love more than I fear death” have called upon me, and I have obeyed. Sarah, my love for you is deathless, it seems to bind me to you with mighty cables that nothing but Omnipotence could break; and yet my love of Country comes over me like a strong wind and bears me irresistibly on with all these chains to the battlefield. The memories of the blissful moments I have spent with you come creeping over me, and I feel most gratified to God and to you that I have enjoyed them so long. And hard it is for me to give them up and burn to ashes the hopes of future years, when God willing, we might still have lived and loved together and seen our sons grow up to honorable manhood around us. I have, I know, but few and small claims upon Divine Providence, but something whispers to me — perhaps it is the wafted prayer of my little Edgar — that I shall return to my loved ones unharmed. If I do not, my dear Sarah, never forget how much I love you, and when my last breath escapes me on the battlefield, it will whisper your name. Forgive my many faults, and the many pains I have caused you. How thoughtless and foolish I have oftentimes been! How gladly would I wash out with my tears every little spot upon your happiness, and struggle with all the misfortune of this world, to shield you and my children from harm. But I cannot. I must watch you from the spirit land and hover near you, while you buffet the storms with your precious little freight, and wait with sad patience till we meet to part no more. But, O Sarah! If the dead can come back to this earth and flit unseen around those they loved, I shall always be near you; in the garish day and in the darkest night — amidst your happiest scenes and gloomiest hours — always, always; and if there be a soft breeze upon your cheek, it shall be my breath; or the cool air fans your throbbing temple, it shall be my spirit passing by. Sarah, do not mourn me dead; think I am gone and wait for thee, for we shall meet again. As for my little boys, they will grow as I have done, and never know a father’s love and care. Little Willie is too young to remember me long, and my blue-eyed Edgar will keep my frolics with him among the dimmest memories of his childhood. Sarah, I have unlimited confidence in your maternal care and your development of their characters. Tell my two mothers his and hers I call God’s blessing upon them. O Sarah, I wait for you there! Come to me, and lead thither my children. Sullivan",1
"im not afraid to admit that I was a fan of slice. i said as soon as Shamrock weighed in at 206.5 that a lighter fighter would be the most dangerous scenario for an inexperienced gorilla like Kimbo. I never had any illusions about him. I thought that at best, he'd have a 10-4 or 12-6 record at 38. Slice has never even had an amateur career and he's going up against guys who've been doing it their entire lives. he was SUPPOSED to be fighting tomato cans. everybody demanded that he fight stiffer competition to justify the personna that Elite XC manufactured or magnified for him. i wasn't a supporter because I bought into that hype. the fight world and entertainment in general has always been plagued by that kind of hypocrisy. good fiction outsells reality in every genre.",0
"Madam, I lay down last night with your image in my thoughts, and have awak’d this morning in the same contemplation. The pleasing transport ith which I’me delighted, has a sweetnesse in it attended with a train of ten thousand soft desires, anxieties, and cares. The day arises on my hopes with new brightnesse; youth beauty and innocence are the charming objects that steal me from myself, and give me joys above the reach of ambition pride or glory.  Believe me, Fair One, to throw myself at yr feet is giving myself the highest blisse I know of earth. Oh hasten ye minutes!  Bring on the happy morning wherein to be ever her’s will make me look down on Thrones! Dear Molly I am tenderly, passionately, faithfully thine, Richard Steele",1
"Its not just terrorists we are talking about here, we have lost all sense of morality. We have lost our value for life and common decency, just look at our city streets. The nation's capital is setting checkpoints to curb crime, ""patriots"" suggest we shoot illegals on site, our law enforcement is just as corrupt as it is in Mexico, a 78 yr old man gets hit by a car and people just stand around and look, no one runs to help..etc etc. We have become worse then the terrorists we are supposedly fighting in the middle east.",0
My Heart – We are thus far separated – but after all one mile is as bad as a thousand – which is a great consolation to one who must travel six hundred before he meets you again.  If it will give you any satisfaction – I am as comfortless as a pilgrim with peas in his shoes – and as cold as Charity – Chastity or any other Virtue.,1
"Maaan.. did you get out of the wrong side of the bed or something? Justin Timberlake is an international superstar.. but you think he is ordinary? I mean you don't have to like him .. but I think it is fair to say he is anything BUT regular, boring, torpid and dull. For you to say this I guess YOU must be doing something totally ""out of the ballpark"" -ish with your life? ...And british gangster (or ""criminal movies as you call it) movies are very good.. waaay better than most US gansgter movies. Not all .. but most.. ... no offence.. just my 2 cents.. ;)",0
"hey, that's supposed to be a riddle! don't give it away anyhow, you want some fun stuff, there's all kinds of stuff. you could make a tesla coil or vand de graff machine. Those are fun. To the wonderful Okors, have a great month. We cherish you guys and wish you well each day. MojiBiola. Oh, and you live in California. Lotta douchebags out there.",0
To Robert Browning: And now listen to me in turn. You have touched me more profoundly than I thought even you could have touched me – my heart was full when you came here today. Henceforward I am yours for everything…. – Elizabeth Barrett Browning,1
"My dearest Teresa, I have read this book in your garden;–my love, you were absent, or else I could not have read it. It is a favourite book of yours, and the writer was a friend of mine. You will not understand these English words, and others will not understand them,–which is the reason I have not scrawled them in Italian. But you will recognize the handwriting of him who passionately loved you, and you will divine that, over a book which was yours, he could only think of love. In that word, beautiful in all languages, but most so in yours–Amor mio–is comprised my existence here and hereafter. I feel I exist here, and I feel I shall exist hereafter,–to what purpose you will decide; my destiny rests with you, and you are a woman, eighteen years of age, and two out of a convent. I love you, and you love me,–at least, you say so, and act as if you did so, which last is a great consolation in all events. But I more than love you, and cannot cease to love you. Think of me, sometimes, when the Alps and ocean divide us, –but they never will, unless you wish it.",1
"Bloody hell, cant believe you forgot my surname Mr . Ill give u a clue, its spanish and begins with m... I.ll get there tomorrow and send it to you That sucks. So what do you got planned for your yo valentine? I am your yo valentine aren't I?",0
"No more shams — a real love letter this time — then I can breathe freely, and perhaps who knows begin to sit up and get well — I haven’t said ‘kiss me’ because life is too short for the kiss my heart calls for… All your words are as idle wind — Look into my eyes for two minutes without speaking if you dare! Where would be your 54 years? and my grandmother’s heart? and how many hours would you be late for dinner? — If you give me one kiss and you can only kiss me if I say ‘kiss me’ and I will never say ‘kiss me’ because I am a respectable widow and I wouldn’t let any man kiss me unless I was sure of the wedding ring — Stella.",1
"To Elizabeth Barrett Browning: …would I, if I could, supplant one of any of the affections that I know to have taken root in you – that great and solemn one, for instance. I feel that if I could get myself remade, as if turned to gold, I WOULD not even then desire to become more than the mere setting to that diamond you must always wear. The regard and esteem you now give me, in this letter, and which I press to my heart and bow my head upon, is all I can take and all too embarrassing, using all my gratitude. – Robert Browning",1
"Did u receive my msg? you want to come over Aight that'll work, thanks",0
"Walker showed some potential in Eight Below, and that horrible tv movie with Penelope Cruz. I feel like he's got a few decent roles in him, which we'll see once he has more experience, like in 30 years or so. Oh and of course he was brilliant in Timeline. Great movie.",0
"I've sent my wife your text. After we buy them she'll tell you what to do. So just relax. We should go get them this wkend. Yeah I saw it, it is indeed a great movie. Korean's best one remains Old Boy although!! K, I'll work something out",0
"Yeah, where's your class at?",0
"Yes, Marquis, I will keep my word with you, and upon all occasions shall speak the truth, though I sometimes tell it at my own expense. I have more firmness of mind than perhaps you may imagine, and ’tis very probable that in the course of this correspondence, you will think I push this quality too far, even to severity. But then, please to remember that I have only the outside of a woman, and that my heart and mind are wholly masculine…. Shall I tell you what makes love so dangerous? ‘Tis the too high idea we are apt to form it. But to speak the truth, love, considered as passion, is merely a blind instinct, that we should rate accordingly. It is an appetite, which inclines us to one object, rather than another, without our being able to account for our taste. Considered as a bond of friendship, where reason presides, it is no longer a passion and loses the very name of love. It becomes esteem: which is indeed a very pleasing appetite, but too tranquil; and therefore incapable of rousing you from you present supineness. If you madly trace the footsteps of our ancient heroes of romance, adopting their extravagant sentiments, you will soon experience, that such false chivalry metamorphoses this charming passion into a melancholy folly; nay, often a tragical one: a perfect frenzy! but divest it of all the borrowed pomp and opinion, and you will then perceive how much it will contribute both to your happiness and pleasure. Be assured that if either reason or knight errantry should be permitted to form the union of our hearts, love would become a state of apathy and madness. The only way to avoid these extremes, is to pursue the course I pointed out to you. At present you have no occasion for any thing more than mere amusement, and believe me, you will not meet it except among women of the character I speak of. Your heart wants occupation; and they are framed to supply the void. At least, give my prescription a fair trial, and I will be answerable for the success. I promised to reason with you, and I think I have kept my word. Farewell...",1
